
  Final Output

Symbol	frequency
   f	 10.345%
   l	 9.770%
   a	 8.621%
   j	 8.046%
   s	 7.471%
   n	 5.747%
   e	 5.172%
   d	 5.172%
   k	 4.598%
   r	 4.023%
   w	 2.874%
   g	 2.874%
   m	 2.299%
   1	 2.299%
   i	 2.299%
   2	 1.724%
   0	 1.724%
   u	 1.724%
   o	 1.724%
   A	 1.149%
   4	 1.149%
   O	 1.149%
   Q	 1.149%
   q	 0.575%
   S	 0.575%
   X	 0.575%
   J	 0.575%
   W	 0.575%
   F	 0.575%
   h	 0.575%
   G	 0.575%
   3	 0.575%
   y	 0.575%
   P	 0.575%
   v	 0.575%

Symbol	Huffman Codes
   f	   010
   l	   001
   a	   1101
   j	   1100
   s	   1011
   n	   1000
   e	   0110
   d	   0111
   k	   11111
   r	   11100
   w	   10011
   g	   10010
   m	   111101
   1	   00010
   i	   111100
   2	   101001
   0	   101011
   u	   101010
   o	   101000
   A	   1110110
   4	   000011
   O	   000000
   Q	   1110111
   q	   0000011
   S	   11101000
   X	   0001111
   J	   0000101
   W	   11101010
   F	   0000010
   h	   11101001
   G	   0000100
   3	   0001110
   y	   0001101
   P	   11101011
   v	   0001100

   Total Bits: 790
